Index       TIME              V(IN)            V(IN1)            V(OUT)            V(VDD)            V(GATE)           V(OUT)            I(V_IN)          I(V_VDD)          I(R_LOAD)    
64       1.02743539e-10   -8.00000000e-01   -7.99999472e-01   -5.12493256e-02    1.00000000e+00    0.00000000e+00   -5.12493256e-02    5.28125920e-10   -1.00000000e-03   -5.12493256e-05
65       1.03415191e-10   -8.00000000e-01   -7.99999846e-01   -4.98182515e-02    1.00000000e+00    0.00000000e+00   -4.98182515e-02    1.54211881e-10   -1.00000000e-03   -4.98182515e-05
66       1.04758497e-10   -8.00000000e-01   -7.99999680e-01   -4.70130100e-02    1.00000000e+00    0.00000000e+00   -4.70130100e-02    3.20005900e-10   -1.00000000e-03   -4.70130100e-05
67       1.07445107e-10   -8.00000000e-01   -7.99999795e-01   -4.16227093e-02    1.00000000e+00    0.00000000e+00   -4.16227093e-02    2.05070489e-10   -1.00000000e-03   -4.16227093e-05
68       1.10131718e-10   -8.00000000e-01   -7.99999703e-01   -3.65144637e-02    1.00000000e+00    0.00000000e+00   -3.65144637e-02    2.96501503e-10   -1.00000000e-03   -3.65144637e-05
69       1.12818329e-10   -8.00000000e-01   -7.99999776e-01   -3.16735142e-02    1.00000000e+00    0.00000000e+00   -3.16735142e-02    2.23768871e-10   -1.00000000e-03   -3.16735142e-05
70       1.15504939e-10   -8.00000000e-01   -7.99999718e-01   -2.70858743e-02    1.00000000e+00    0.00000000e+00   -2.70858743e-02    2.81627748e-10   -1.00000000e-03   -2.70858743e-05
71       1.18191550e-10   -8.00000000e-01   -7.99999764e-01   -2.27382890e-02    1.00000000e+00    0.00000000e+00   -2.27382890e-02    2.35601614e-10   -1.00000000e-03   -2.27382890e-05
72       1.20878161e-10   -8.00000000e-01   -7.99999728e-01   -1.86181972e-02    1.00000000e+00    0.00000000e+00   -1.86181972e-02    2.72215580e-10   -1.00000000e-03   -1.86181972e-05
73       1.23564771e-10   -8.00000000e-01   -7.99999757e-01   -1.47136951e-02    1.00000000e+00    0.00000000e+00   -1.47136951e-02    2.43089686e-10   -1.00000000e-03   -1.47136951e-05
74       1.26251382e-10   -8.00000000e-01   -7.99999734e-01   -1.10135015e-02    1.00000000e+00    0.00000000e+00   -1.10135015e-02    2.66259581e-10   -1.00000000e-03   -1.10135015e-05
75       1.28937993e-10   -8.00000000e-01   -7.99999752e-01   -7.50692574e-03    1.00000000e+00    0.00000000e+00   -7.50692574e-03    2.47828390e-10   -1.00000000e-03   -7.50692574e-06
76       1.31624604e-10   -8.00000000e-01   -7.99999738e-01   -4.18383650e-03    1.00000000e+00    0.00000000e+00   -4.18383650e-03    2.62490692e-10   -1.00000000e-03   -4.18383650e-06
77       1.34311214e-10   -8.00000000e-01   -7.99999749e-01   -1.03463257e-03    1.00000000e+00    0.00000000e+00   -1.03463257e-03    2.50827257e-10   -1.00000000e-03   -1.03463257e-06
78       1.36997825e-10   -8.00000000e-01   -7.99999740e-01    1.94978482e-03    1.00000000e+00    0.00000000e+00    1.94978482e-03    2.60105837e-10   -1.00000000e-03    1.94978482e-06
79       1.39684436e-10   -8.00000000e-01   -7.99999747e-01    4.77803838e-03    1.00000000e+00    0.00000000e+00    4.77803838e-03    2.52725130e-10   -1.00000000e-03    4.77803838e-06
80       1.42371046e-10   -8.00000000e-01   -7.99999741e-01    7.45829959e-03    1.00000000e+00    0.00000000e+00    7.45829959e-03    2.58596818e-10   -1.00000000e-03    7.45829959e-06
81       1.45057657e-10   -8.00000000e-01   -7.99999746e-01    9.99831236e-03    1.00000000e+00    0.00000000e+00    9.99831236e-03    2.53926280e-10   -1.00000000e-03    9.99831236e-06
82       1.47744268e-10   -8.00000000e-01   -7.99999742e-01    1.24054154e-02    1.00000000e+00    0.00000000e+00    1.24054154e-02    2.57642039e-10   -1.00000000e-03    1.24054154e-05
83       1.53117489e-10   -8.00000000e-01   -7.99999745e-01    1.68513904e-02    1.00000000e+00    0.00000000e+00    1.68513904e-02    2.54527481e-10   -1.00000000e-03    1.68513904e-05
