Index       TIME              V(IN)            V(IN1)            V(OUT)            V(VDD)            V(GATE)           V(OUT)            I(V_IN)          I(V_VDD)          I(R_LOAD)    
59       5.02777657e-10    0.00000000e+00    0.00000000e+00   -5.53515410e-02    1.00000000e+00    2.77765694e-01   -5.53515410e-02    0.00000000e+00   -9.88420378e-04   -5.53515410e-05
60       5.02894610e-10    0.00000000e+00    0.00000000e+00   -4.99328534e-02    1.00000000e+00    2.89461046e-01   -4.99328534e-02    0.00000000e+00   -8.91658100e-04   -4.99328534e-05
61       5.02941211e-10    0.00000000e+00    0.00000000e+00   -4.27946034e-02    1.00000000e+00    2.94121068e-01   -4.27946034e-02    0.00000000e+00   -7.64189350e-04   -4.27946034e-05
62       5.02987811e-10    0.00000000e+00    0.00000000e+00   -3.13961466e-02    1.00000000e+00    2.98781089e-01   -3.13961466e-02    0.00000000e+00   -5.60645477e-04   -3.13961466e-05
63       5.03029751e-10    0.00000000e+00    0.00000000e+00   -1.99070731e-02    1.00000000e+00    3.02975109e-01   -1.99070731e-02    0.00000000e+00   -3.55483449e-04   -1.99070731e-05
64       5.03071691e-10    0.00000000e+00    0.00000000e+00   -1.07801843e-02    1.00000000e+00    3.07169129e-01   -1.07801843e-02    0.00000000e+00   -1.92503292e-04   -1.07801843e-05
65       5.03113631e-10    0.00000000e+00    0.00000000e+00   -5.23125528e-03    1.00000000e+00    3.11363148e-01   -5.23125528e-03    0.00000000e+00   -9.34152732e-05   -5.23125528e-06
66       5.03155572e-10    0.00000000e+00    0.00000000e+00   -2.38773294e-03    1.00000000e+00    3.15557168e-01   -2.38773294e-03    0.00000000e+00   -4.26380883e-05   -2.38773294e-06
67       5.03239452e-10    0.00000000e+00    0.00000000e+00   -4.62099201e-04    1.00000000e+00    3.23945207e-01   -4.62099201e-04    0.00000000e+00   -8.25177148e-06   -4.62099201e-07
68       5.03323332e-10    0.00000000e+00    0.00000000e+00   -8.69127335e-05    1.00000000e+00    3.32333246e-01   -8.69127335e-05    0.00000000e+00   -1.55201310e-06   -8.69127335e-08
69       5.03491093e-10    0.00000000e+00    0.00000000e+00   -3.03796496e-06    1.00000000e+00    3.49109324e-01   -3.03796496e-06    0.00000000e+00   -5.42493746e-08   -3.03796496e-09
70       5.03658854e-10    0.00000000e+00    0.00000000e+00   -1.06036127e-07    1.00000000e+00    3.65885402e-01   -1.06036127e-07    0.00000000e+00   -1.89350228e-09   -1.06036127e-10
71       5.03994376e-10    0.00000000e+00    0.00000000e+00   -1.29166940e-10    1.00000000e+00    3.99437559e-01   -1.29166940e-10    0.00000000e+00   -2.30655254e-12   -1.29166940e-13
72       5.04665419e-10    0.00000000e+00    0.00000000e+00   -1.98266696e-16    1.00000000e+00    4.66541872e-01   -1.98266696e-16    0.00000000e+00   -3.52018952e-18   -1.98266696e-19
73       5.06007505e-10    0.00000000e+00    0.00000000e+00    5.53197218e-18    1.00000000e+00    6.00750498e-01    5.53197218e-18    0.00000000e+00    7.84977858e-20    5.53197218e-21
74       5.08691677e-10    0.00000000e+00    0.00000000e+00   -5.53197228e-18    1.00000000e+00    8.69167750e-01   -5.53197228e-18    0.00000000e+00   -7.84977858e-20   -5.53197228e-21
75       5.10000000e-10    0.00000000e+00    0.00000000e+00    5.53197228e-18    1.00000000e+00    1.00000000e+00    5.53197228e-18    0.00000000e+00    7.84977858e-20    5.53197228e-21
76       5.10536835e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
77       5.11610504e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
78       5.13757842e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
79       5.18052518e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
80       5.26641870e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
81       5.36641870e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
